m.z,r.t,p.value,t.score,mode
245.1502,0.513,0.12,1.697996072,positive
272.1603,7.087,0.12,-1.702250966,positive
184.0977,1.118,0.12,-1.701836117,negative
304.1218,0.512,0.12,1.698910844,negative
444.9665,2.007,0.12,-1.699596166,negative
353.0888,1.003,0.121,-1.69228702,negative
215.139,5.001,0.123,1.683094022,positive
265.1037,1.014,0.123,-1.682554654,negative
286.0026,3.257,0.123,-1.682202304,negative
176.1075,0.501,0.124,1.681090499,positive
188.184,8.262,0.124,1.678621857,positive
308.1524,4.919,0.124,-1.678603065,positive
454.1242,3.692,0.124,-1.679932787,positive
306.9948,1.951,0.124,-1.677735499,negative
234.9916,3.442,0.125,1.675931836,negative
259.0432,5.928,0.125,-1.676697508,negative
323.0937,2.289,0.127,-1.66561089,negative
343.1394,3.094,0.127,-1.662922864,negative
126.1027,5.435,0.128,1.661324288,positive
287.1968,4.478,0.128,-1.661492966,positive
292.1576,1.593,0.128,-1.659506862,positive
303.2022,4.502,0.128,-1.661959318,positive
319.1644,0.958,0.128,1.658472329,positive
363.1426,0.526,0.128,-1.661600822,positive
264.9274,10.093,0.128,1.660711455,negative
367.0828,2.357,0.128,-1.657755106,negative
594.3635,0.533,0.128,1.660773792,negative
375.1293,5.379,0.129,-1.654793443,negative
393.1028,4.961,0.129,-1.653490562,negative
561.0749,3.828,0.129,1.654259187,negative
189.1346,3.204,0.13,1.651675066,positive
304.158,0.542,0.13,1.650556749,negative
311.1504,0.977,0.13,-1.651122194,negative
335.095,0.782,0.13,-1.652065861,negative
348.1473,0.523,0.13,1.648682378,negative
401.194,3.928,0.13,-1.651756649,negative
326.099,3.389,0.131,1.645141333,negative
397.1353,1.015,0.131,-1.643084929,negative
174.1125,0.823,0.132,-1.639230055,positive
227.0219,5.696,0.132,1.640736973,negative
317.0667,2.147,0.132,-1.638690387,negative
751.2991,3.904,0.132,-1.641030067,negative
258.1831,1.076,0.134,-1.632269847,positive
260.1491,3.321,0.134,1.629846673,positive
357.142,5.129,0.134,-1.630635989,positive
447.1389,3.421,0.134,1.630511489,negative
303.0869,2.422,0.135,-1.626548578,negative
316.2116,1.398,0.136,1.620412468,positive
311.056,2.651,0.136,-1.623378219,negative
349.0593,2.431,0.137,-1.618568083,negative
255.1338,7.244,0.138,-1.614409931,positive
330.2273,1.14,0.138,1.613888455,positive
475.2465,3.874,0.138,1.610918445,positive
204.9812,0.851,0.138,-1.612021053,negative
