"p.value","m.z","t.score","r.t"
0.11,246.0976,-1.752160921,0.832
0.111,293.0332,-1.747488402,3.975
0.112,149.0597,-1.741600327,5.975
0.112,203.1478,1.740551896,5.105
0.112,125.0243,-1.74156243,0.867
0.113,284.0796,-1.737447397,7.959
0.113,302.1959,1.738744501,1.349
0.113,351.1583,1.739586294,6.884
0.113,243.0715,1.739717152,4.453
0.114,327.0499,-1.730919981,3.959
0.114,327.1515,-1.729179425,4.429
0.114,553.2285,1.729032653,0.519
0.115,325.1527,-1.7271466,4.364
0.116,123.0553,1.719045569,5
0.116,408.206,-1.718292921,4.557
0.116,275.0709,-1.721683988,4.9
0.116,317.0854,1.72270533,3.496
0.116,350.0879,1.719766243,4.725
0.116,533.2041,-1.72216895,3.926
0.117,392.1553,-1.71416739,0.566
0.118,204.1421,1.710178915,5.101
0.118,299.1366,-1.708248436,4.533
0.118,347.2191,-1.709751822,4.123
0.118,153.0193,-1.712739009,1.076
0.118,329.0873,1.709233004,5.474
0.118,364.0972,-1.711395025,0.554
0.12,245.1502,1.697996072,0.513
0.12,272.1603,-1.702250966,7.087
0.12,184.0977,-1.701836117,1.118
0.12,304.1218,1.698910844,0.512
0.12,444.9665,-1.699596166,2.007
0.121,353.0888,-1.69228702,1.003
0.123,215.139,1.683094022,5.001
0.123,265.1037,-1.682554654,1.014
0.123,286.0026,-1.682202304,3.257
0.124,176.1075,1.681090499,0.501
0.124,188.184,1.678621857,8.262
0.124,308.1524,-1.678603065,4.919
0.124,454.1242,-1.679932787,3.692
0.124,306.9948,-1.677735499,1.951
0.125,234.9916,1.675931836,3.442
0.125,259.0432,-1.676697508,5.928
0.127,323.0937,-1.66561089,2.289
0.127,343.1394,-1.662922864,3.094
0.128,126.1027,1.661324288,5.435
0.128,287.1968,-1.661492966,4.478
0.128,292.1576,-1.659506862,1.593
0.128,303.2022,-1.661959318,4.502
0.128,319.1644,1.658472329,0.958
0.128,363.1426,-1.661600822,0.526
0.128,264.9274,1.660711455,10.093
0.128,367.0828,-1.657755106,2.357
0.128,594.3635,1.660773792,0.533
0.129,375.1293,-1.654793443,5.379
0.129,393.1028,-1.653490562,4.961
0.129,561.0749,1.654259187,3.828
0.13,189.1346,1.651675066,3.204
0.13,304.158,1.650556749,0.542
0.13,311.1504,-1.651122194,0.977
0.13,335.095,-1.652065861,0.782
0.13,348.1473,1.648682378,0.523
0.13,401.194,-1.651756649,3.928
0.131,326.099,1.645141333,3.389
0.131,397.1353,-1.643084929,1.015
0.132,174.1125,-1.639230055,0.823
0.132,227.0219,1.640736973,5.696
0.132,317.0667,-1.638690387,2.147
0.132,751.2991,-1.641030067,3.904
0.134,258.1831,-1.632269847,1.076
0.134,260.1491,1.629846673,3.321
0.134,357.142,-1.630635989,5.129
0.134,447.1389,1.630511489,3.421
0.135,303.0869,-1.626548578,2.422
0.136,316.2116,1.620412468,1.398
0.136,311.056,-1.623378219,2.651
0.137,349.0593,-1.618568083,2.431
0.138,255.1338,-1.614409931,7.244
0.138,330.2273,1.613888455,1.14
0.138,475.2465,1.610918445,3.874
0.138,204.9812,-1.612021053,0.851
0.138,400.1428,1.610496544,3.49
0.139,516.207,-1.607233455,6.311
0.14,205.1634,1.605106959,7.711
0.14,241.1295,1.601848259,4.812
0.14,341.1238,-1.601865711,3.166
0.141,489.1394,-1.59658139,3.349
0.141,323.0577,-1.599356801,4.005
0.141,346.1323,1.598643905,0.513
0.142,104.0818,1.596193429,4.801
0.142,344.2064,1.595793839,0.516
0.142,369.1291,1.594141879,4.69
0.142,399.1654,-1.592062132,0.559
0.143,221.1607,1.588151691,4.761
0.143,249.0371,-1.589377108,5.647
0.143,187.0416,-1.590991717,2.303
0.143,315.0719,-1.588665459,5.501
0.143,417.1191,1.589846351,3.981
0.144,228.0868,1.583784372,4.611
0.144,247.0796,-1.583334164,2.434
0.144,603.1886,1.585695876,3.693
0.145,265.1184,-1.579669416,0.981
0.145,323.0557,-1.582504525,2.493
0.145,383.1166,-1.580668984,1.001
0.145,507.1128,-1.579024113,2.331
0.146,425.2133,1.576099726,5.414
0.146,546.3042,-1.576969308,0.52
0.147,182.0308,-1.573589096,1.029
0.147,545.2041,-1.574261669,3.931
0.148,259.0278,-1.568329654,2.431
0.148,370.0777,-1.566773561,4.777
0.148,411.1293,-1.569254479,0.569
0.149,342.2272,1.562974332,1.218
0.149,300.0195,-1.561512582,3.182
0.15,262.1648,1.559093117,4.112
0.15,336.0351,1.558995471,2.633
0.15,395.0644,-1.55752906,1.738
0.15,459.2375,-1.558897271,0.514
0.152,272.1239,-1.549532194,7.242
0.152,419.1429,1.552271874,3.43
0.153,260.1969,1.545962766,7.609
0.154,281.1496,-1.540648343,3.679
0.155,365.1337,1.539736861,4.633
0.155,205.0059,-1.539847236,2.072
0.155,363.0706,-1.539147959,2.372
0.156,325.0719,-1.533758544,2.459
0.156,343.1393,-1.534596993,0.52
0.157,144.1028,-1.528121606,4.464
0.157,299.0984,-1.529403183,5.442
0.157,343.0672,1.528663403,6.081
0.158,135.0299,1.52429958,6.065
0.159,178.0444,-1.520743133,1.022
0.159,285.0436,-1.52209306,0.548
0.16,475.1985,-1.517422934,3.657
0.161,161.9867,1.512401211,2.345
0.161,403.1027,1.512800819,3.097
0.161,425.1117,-1.513423407,3.872
0.163,334.1857,1.505841801,5.112
0.164,401.1035,-1.50022684,2.348
0.165,142.0973,1.499635513,1.094
0.165,175.0246,-1.497605072,5.38
0.165,432.2026,-1.497740586,5.454
0.166,302.1962,1.494271661,1.924
0.166,279.1346,-1.495139042,0.94
0.166,352.0712,-1.494575046,1.03
0.166,359.1156,-1.494832594,0.557
0.166,412.1428,-1.494178385,0.561
0.167,459.1501,1.489339285,4.308
0.167,660.1369,-1.491733449,3.999
0.169,119.0359,1.48263338,5.512
0.169,416.9353,-1.482325393,1.747
0.169,477.0708,-1.481414488,3.213
0.171,265.0679,-1.473400019,5.615
0.173,311.1494,-1.467404017,0.538
0.174,296.149,1.461929314,3.657
0.174,201.0516,1.464103784,7.993
0.174,243.1347,1.464986052,2.554
0.175,239.1389,-1.459796529,7.307
0.175,212.129,-1.459584781,0.833
0.175,231.0295,-1.460458006,2.581
0.175,233.0122,1.459026444,3.76
0.176,433.2361,1.455079596,4.762
0.176,258.0611,1.45522808,5.695
0.176,311.0929,-1.456515438,2.301
0.176,715.3355,-1.454854999,0.55
0.177,444.222,-1.452274531,3.766
0.177,279.068,-1.453526724,2.262
0.177,301.0518,-1.452088098,2.391
0.177,471.0947,1.453857334,4.944
0.177,495.1962,-1.453426385,0.514
0.177,557.0606,-1.45350568,3.819
0.178,131.118,1.449692852,4.745
0.178,332.2422,1.448537931,0.515
0.178,224.002,-1.449266084,2.41
0.178,327.0325,-1.449315817,4.016
0.178,622.1488,-1.447819065,5.921
0.179,337.1424,1.444548269,2.92
0.179,201.1243,1.444611894,5.193
0.181,302.1962,1.437263797,0.515
0.181,179.0561,1.436684032,5.436
0.181,527.2131,1.439509737,0.53
0.182,189.1232,1.432890468,6.685
0.182,220.1182,-1.433568989,0.536
0.182,189.113,-1.433996946,0.89
0.182,446.1811,-1.433601876,3.871
0.183,257.1498,1.430109986,0.514
0.183,253.1078,-1.432164991,0.791
0.186,350.1596,1.419532621,1.276
0.186,316.1207,-1.421277615,2.075
0.189,193.1319,1.407890076,7.203
0.189,376.3184,1.41077249,0.456
0.189,561.1384,-1.408210674,2.255
0.19,157.0503,-1.405087345,0.513
0.19,508.0596,1.407653127,3.862
0.191,245.0432,-1.402883404,5.704
0.191,399.1089,1.403777753,4.124
0.192,243.134,1.398165125,0.517
0.192,345.0646,1.398380806,0.556
0.192,367.1156,1.399341508,5.688
0.193,190.9655,1.394561425,2.079
0.193,99.0451,1.395603755,0.903
0.194,229.155,1.391499755,5.116
0.194,218.9815,-1.392286173,1.043
0.194,525.1638,-1.392982458,0.564
0.196,434.2183,-1.38451259,5.437
0.198,382.1907,-1.378005069,4.683
0.199,165.0488,-1.376548677,5.706
0.199,461.1267,-1.376239667,0.535
0.2,203.1513,1.372600453,6.974
0.2,342.2272,1.371339383,1.198
0.2,450.2117,-1.37168441,6.308
0.2,245.0465,1.371422901,2.156
0.2,275.0227,-1.370871156,3.422
0.201,217.1656,-1.368657039,3.908
0.201,530.1863,-1.367378662,6.452
0.202,144.102,1.364161347,5.362
0.202,426.1944,1.364706372,0.561
0.202,162.0227,-1.366284195,0.513
0.203,453.0666,-1.363042938,5.135
0.204,449.2389,1.359827052,7.195
0.204,645.4286,-1.357854517,1.239
0.204,301.9973,-1.358710271,2.602
0.204,331.12,-1.358816751,2.389
0.204,405.1033,-1.359009081,6.178
0.205,293.1706,-1.355718845,8.464
0.205,237.1241,-1.355260021,0.892
0.206,347.0747,1.353641234,6.014
0.207,238.1549,1.350111634,6.221
0.207,237.1128,-1.349239612,0.821
0.207,356.0984,-1.349341154,4.734
0.207,424.0372,-1.347810753,1.749
0.208,142.1225,-1.346208366,3.003
0.208,151.0615,1.345647703,1.336
0.208,229.0852,1.346439675,3.063
0.208,318.1351,-1.345313234,0.512
0.208,212.0019,-1.345962254,2.386
0.208,347.0888,-1.346043912,4.926
0.208,387.2017,-1.347038669,0.89
0.209,666.637,-1.342103866,0.431
0.209,165.0405,-1.34397261,5.703
0.21,485.1658,1.338359501,0.539
0.211,294.1347,1.33764482,0.513
0.212,173.009,-1.331791462,6.03
0.213,207.0477,-1.330579725,2.382
0.213,230.9815,-1.329251474,1.035
0.213,276.0026,-1.329766527,3.407
0.213,339.1079,-1.328612395,0.546
0.213,551.2299,-1.329482691,2.381
0.214,148.0968,-1.327871652,5.031
0.214,167.0727,-1.327405113,0.556
0.214,170.0932,1.327627396,6.855
0.214,262.9864,-1.3272941,7.93
0.214,281.1132,1.325642265,0.515
0.214,477.1075,-1.327250746,1.029
0.215,290.177,1.323166875,2.893
0.215,202.9868,-1.322785091,1.018
0.216,173.0567,1.319304894,5.365
0.216,349.1248,1.322107438,5.438
0.216,519.1171,1.322191307,4.031
0.217,181.0838,1.318548063,0.54
0.217,387.1654,1.317370009,3.687
0.218,277.0844,-1.313661513,0.837
0.219,135.0373,-1.310890351,5.68
0.219,284.0773,1.311121686,5.465
0.219,443.1553,1.310926768,0.527
0.22,154.0587,1.307682899,5.989
0.222,305.0866,-1.303054063,4.783
0.222,243.9919,1.302893324,4.942
0.222,389.0876,1.3008758,3.478
0.223,247.1759,-1.299545528,4.792
0.223,392.155,-1.298535099,4.524
0.224,171.0662,1.296494656,0.928
0.226,159.1128,1.291322283,4.592
0.226,203.139,1.290888595,7.531
0.226,491.2414,1.290268822,4.923
0.227,167.0461,1.28831108,5.457
0.227,249.0577,-1.286370619,6.126
0.227,257.15,1.285938795,0.515
0.227,407.1007,-1.287202841,3.863
0.228,314.1594,1.283305659,5.081
0.228,527.1811,-1.28370124,2.365
0.229,281.1493,-1.282180565,4.837
0.229,204.9811,-1.280892678,4.114
0.229,409.1865,-1.281180645,0.518
0.229,427.0857,-1.2805422,5.802
0.23,151.0255,1.278460318,1.019
0.23,175.0245,-1.279702456,0.522
0.23,73.0294,-1.277222875,0.881
0.232,166.0724,1.271189915,3.417
0.232,276.1443,-1.271481356,0.534
0.232,279.1103,1.271889012,5.146
0.232,417.1877,1.271396146,4.012
0.233,257.1498,1.268497813,0.514
0.233,622.0896,-1.268471432,3.343
