"p.value","m.z","t.score","r.t"
0.0607,181.0617,-2.143625539,1.482
0.0609,423.0221,-2.111265109,8.465
0.0612,197.0676,-2.108923448,0.781
0.0614,139.0398,2.106700565,0.519
0.0614,521.2418,-2.106797404,0.552
0.062,545.2041,-2.101144566,3.931
0.0621,239.1389,-2.129273561,7.307
0.0621,249.0577,-2.099555971,6.126
0.0622,540.3495,-2.128063317,4.471
0.0622,327.0724,-2.098885895,2.431
0.0626,509.2749,-2.095196801,0.528
0.0629,228.0575,2.092364828,3.43
0.063,426.1589,-2.091307919,0.567
0.0634,187.0417,2.087621023,3.489
0.0637,238.0774,-2.084462536,4.689
0.064,303.1672,2.110797191,0.526
0.0642,547.0889,2.079522246,3.745
0.0645,172.0978,-2.077397405,0.872
0.0646,552.06,-2.0761438,3.78
0.0648,336.1915,2.103027334,2.914
0.0649,502.2947,2.101807706,1.064
0.0649,411.2018,-2.073074912,0.521
0.065,551.2299,-2.072394537,2.381
0.0652,431.1156,-2.070581795,2.347
0.0657,225.0762,-2.066407215,0.841
0.0658,239.0341,-2.065455236,8.007
0.0658,495.1962,-2.065150056,0.514
0.0663,293.0332,-2.06107758,3.975
0.0663,464.3008,-2.060786101,0.518
0.0672,123.0542,-2.052861793,0.96
0.0672,246.9763,-2.052741851,1.04
0.0674,397.1353,-2.050923964,1.015
0.0676,291.089,-2.04928098,3.499
0.0679,323.0937,-2.046799564,2.289
0.0687,175.0245,-2.039559309,0.522
0.069,645.4286,-2.064569883,1.239
0.0691,631.2682,2.036082382,0.556
0.0693,290.1356,-2.061238319,3.737
0.0699,144.0666,-2.029016432,1.163
0.07,343.0672,2.028429774,6.081
0.07,429.2122,-2.028692641,0.521
0.0704,591.3171,2.051648592,0.528
0.0708,314.1594,2.048307612,5.081
0.0709,359.134,-2.020703765,0.536
0.071,119.0352,-2.019591477,4.472
0.0716,343.0528,-2.014890566,8.034
0.0718,319.1611,-2.039674468,8.704
0.0721,344.2064,2.037048838,0.516
0.0721,289.0578,-2.010354992,2.417
0.0722,226.082,-2.03658817,3.788
0.0723,147.0297,-2.009258855,3.639
0.0727,476.1921,-2.005768784,0.548
0.0734,307.084,-1.999627326,4.338
0.0736,275.0709,-1.998233646,4.9
0.0739,117.0558,-1.995855189,0.877
0.0745,205.1184,-2.016678944,8.039
0.0749,182.0917,2.013624972,0.888
0.075,311.1504,-1.986759437,0.977
0.0752,337.1426,-2.011416154,7.325
0.0752,453.0692,-1.98503193,3.704
0.0754,265.1191,2.00976163,0.536
0.0757,241.1078,-1.98174252,0.86
0.0761,275.0228,-1.977977242,3.571
0.0765,232.9759,1.975393083,5.687
0.0769,246.0745,-1.971884695,4.944
0.0769,293.1046,-1.972260608,3.527
0.077,385.1256,-1.996412812,3.911
0.0771,261.1808,-1.995538966,4.525
0.0775,239.9969,-1.967242557,2.405
0.0775,459.1501,1.966991386,4.308
0.0777,302.196,1.990749114,2.176
0.078,407.0272,-1.963121902,8.433
0.078,689.3021,-1.963619509,0.543
0.0782,100.0757,-1.987072878,0.821
0.0783,315.0699,-1.961008194,3.297
0.0787,357.2497,-1.982751179,7.349
0.0792,151.0612,-1.953960022,4.846
0.0795,244.1655,-1.97680637,7.349
0.0795,288.0874,-1.951907716,0.844
0.0795,349.1248,-1.951839457,5.186
0.0796,401.1091,-1.951254727,3.78
0.0798,264.1167,1.9494865,3.376
0.0799,225.0472,-1.949013036,1.04
0.08,124.9916,-1.948006225,5.153
0.0801,279.6859,-1.972138669,6.11
0.0803,314.1706,1.97042694,3.875
0.0805,298.0421,-1.944018808,4.091
0.0818,204.9812,1.93453374,3.557
0.0819,418.063,1.933904157,1.867
0.0821,447.1495,-1.932623381,4.739
0.0826,265.1037,-1.928758904,1.014
0.0828,508.0596,1.927519375,3.862
0.0832,251.094,-1.924165562,3.644
0.0837,282.12,-1.944822741,4.907
0.0838,246.9915,1.920269835,5.457
0.0844,261.1807,-1.939012133,3.948
0.0845,350.2071,1.938292792,2.649
0.0849,204.0866,-1.93548505,8.005
0.085,311.0952,-1.91150361,0.55
0.0852,213.9964,1.909726031,1.026
0.0856,535.2183,-1.906882949,3.646
0.0858,218.997,-1.905559602,1.135
0.0859,280.1651,-1.928103102,3.874
0.0861,444.06,-1.903370369,1.886
0.0862,203.139,-1.926029418,5.989
0.0864,211.0613,-1.901774332,0.897
0.0864,348.1105,-1.901566166,4.903
0.0869,225.0615,-1.898032437,6.787
0.0871,205.0972,-1.919922583,4.752
0.0871,397.095,1.896858655,1.037
0.0872,297.1338,-1.895860841,0.84
0.0874,153.1276,-1.91723026,0.538
0.0875,306.1713,-1.917068127,0.517
0.0876,176.0666,-1.916468696,7.162
0.0877,366.1391,-1.915599088,7.934
0.0877,197.0905,-1.892789536,0.843
0.088,159.0764,-1.913181319,6.269
0.0881,145.0362,-1.889979726,1.023
0.0882,305.0333,-1.889106518,4.102
