m.z,r.t.,p.value,t.score,mode
272.992,1.032,0.0303,-2.521870697,negative
197.0454,3.508,0.0307,-2.514823086,negative
303.066,2.439,0.0309,-2.509664281,negative
393.0116,3.844,0.0309,2.510820136,negative
208.0612,0.516,0.0312,-2.505486701,negative
383.1703,0.521,0.0315,2.498441548,negative
247.0817,0.843,0.0316,-2.496508605,negative
291.1062,6.1,0.0317,-2.540669091,positive
257.0122,1.017,0.0317,-2.496053579,negative
181.0624,1.495,0.032,-2.534653789,positive
181.0504,3.057,0.0321,-2.487666333,negative
212.129,0.833,0.0322,-2.487044107,negative
385.1682,2.449,0.0323,-2.484377523,negative
157.0971,5.014,0.0325,2.525784239,positive
285.1557,7.39,0.0326,-2.52406175,positive
150.0694,1.101,0.0327,-2.522195111,positive
337.0938,3.48,0.0328,-2.474895363,negative
413.2172,0.519,0.0328,-2.475264128,negative
517.1523,3.699,0.0328,2.475691062,negative
233.1495,8.034,0.033,-2.51609186,positive
96.9696,7.956,0.0331,-2.469511497,negative
431.1165,2.279,0.0337,-2.45884348,negative
213.0766,4.042,0.0338,-2.457998818,negative
165.0534,0.912,0.034,2.454243386,negative
233.0116,3.162,0.0343,2.44990301,negative
231.0378,5.108,0.0344,2.489723927,positive
246.0976,0.832,0.0346,-2.444935657,negative
223.0973,0.837,0.035,-2.437893949,negative
147.0298,5.173,0.0351,-2.435212934,negative
351.0566,8.859,0.0351,-2.436142611,negative
341.1963,0.855,0.0352,-2.434831452,negative
272.1239,7.242,0.0353,-2.473911169,positive
272.0764,5.633,0.0357,2.467522774,positive
371.0979,5.681,0.0358,-2.425038891,negative
496.1979,0.524,0.0359,-2.421815078,negative
269.1245,6.119,0.0363,-2.457524879,positive
338.1759,1.329,0.0364,2.455592447,positive
229.0174,0.829,0.0365,-2.412778025,negative
181.0718,5.323,0.037,-2.405701692,negative
459.2375,0.514,0.037,-2.404564859,negative
353.1236,1.057,0.0371,-2.402849042,negative
227.1287,0.785,0.0374,-2.398469926,negative
198.1133,0.851,0.0375,-2.396735231,negative
144.1028,4.464,0.0376,-2.436769997,positive
240.9658,1.039,0.0376,-2.395635602,negative
260.0231,7.103,0.0377,-2.394350655,negative
600.2839,3.862,0.0378,-2.392158476,negative
193.0353,3.249,0.0379,-2.390241414,negative
184.0977,1.118,0.0382,-2.385784925,negative
259.0129,8.077,0.0382,-2.386239513,negative
181.0609,1.423,0.0384,-2.424076628,positive
499.112,3.373,0.0387,-2.378752593,negative
267.1246,0.529,0.039,2.413134331,positive
464.191,3.704,0.039,-2.373525323,negative
405.1177,2.095,0.0394,-2.368067809,negative
237.1128,0.821,0.0396,-2.364480059,negative
351.0893,2.059,0.0396,-2.364717652,negative
118.0867,4.678,0.0397,-2.403267188,positive
377.1447,5.659,0.0398,-2.362181711,negative
410.1275,2.212,0.0401,-2.358397431,negative
238.1548,5.5,0.0403,2.394062992,positive
182.0577,5.354,0.0411,-2.382432688,positive
406.1702,4.529,0.0412,-2.380756011,positive
477.1233,1.01,0.0412,2.342090568,negative
232.0283,5.427,0.0415,-2.33756492,negative
339.1871,0.5,0.0417,2.373554909,positive
325.0364,3.989,0.042,-2.330962357,negative
147.0298,6.996,0.0421,-2.329830831,negative
246.1812,7.713,0.0424,-2.362845408,positive
342.1008,0.561,0.0425,-2.323738688,negative
233.0584,0.821,0.0427,-2.321297361,negative
301.0518,2.391,0.0427,-2.320430685,negative
215.1035,5.773,0.0428,-2.319473214,negative
306.1705,1.305,0.0429,-2.356436989,positive
264.1191,6.316,0.0435,-2.347024492,positive
265.1304,1.09,0.0437,2.344992472,positive
139.0764,0.897,0.0437,-2.30694193,negative
249.0627,5.154,0.0438,-2.305693485,negative
254.1498,4.993,0.044,2.340421541,positive
251.0519,7.281,0.044,-2.302844876,negative
273.1211,4.643,0.0442,-2.336944833,positive
289.002,3.528,0.0443,-2.298985776,negative
516.207,6.311,0.0444,-2.334437359,positive
100.0757,0.957,0.0445,-2.333237103,positive
187.0416,2.303,0.0445,-2.297022496,negative
197.0468,2.723,0.0446,-2.295619014,negative
229.9984,1.043,0.0449,-2.291197109,negative
337.1424,2.92,0.0455,2.319725042,positive
370.0962,2.969,0.0455,-2.2841725,negative
182.0579,4.331,0.0466,-2.305758991,positive
197.0541,1.058,0.0466,-2.269761717,negative
249.0785,3.569,0.0469,-2.265724361,negative
327.089,3.578,0.0472,-2.262637871,negative
365.1425,0.559,0.0473,-2.261134535,negative
325.1744,0.519,0.0478,2.290271908,positive
241.1294,5.434,0.0479,-2.288225887,positive
290.8472,5.298,0.0479,2.288478036,positive
411.1293,0.569,0.0479,-2.253289707,negative
157.0503,0.513,0.0481,-2.251081633,negative
341.1373,2.931,0.0484,2.282280797,positive
341.0323,2.697,0.0484,-2.24731969,negative
571.2532,0.525,0.0484,-2.247513359,negative
164.0715,4.437,0.0489,-2.240858133,negative
387.2017,0.89,0.049,-2.239781773,negative
425.1117,3.872,0.049,-2.239669103,negative
528.263,4.027,0.0491,-2.239158662,negative
287.0229,1.497,0.0492,-2.237213753,negative
445.207,3.608,0.0494,-2.235430931,negative
527.1811,2.365,0.0494,-2.23493829,negative
307.1868,5.097,0.0495,-2.268910761,positive
276.1442,5.613,0.0498,-2.264403044,positive
166.1333,1.023,0.0501,-2.261123771,positive
399.095,6.765,0.0501,-2.227260247,negative
507.2243,0.539,0.0504,-2.223277134,negative
229.0864,0.532,0.0506,2.25521668,positive
135.0299,8.49,0.051,-2.216489694,negative
313.1652,0.951,0.051,-2.216820765,negative
424.1437,0.564,0.051,-2.215915645,negative
195.0515,0.84,0.0511,-2.215076073,negative
173.9866,2.442,0.0516,2.210024175,negative
507.1128,2.331,0.0516,-2.209170203,negative
370.1324,0.553,0.0517,-2.208379047,negative
207.0477,2.382,0.052,-2.205342868,negative
312.2284,1.053,0.0522,-2.235620773,positive
565.1698,3.303,0.0525,2.199657051,negative
261.0484,5.649,0.0526,-2.230995626,positive
575.3863,0.86,0.0526,-2.231674018,positive
307.084,4.173,0.0532,-2.191137468,negative
277.0844,0.837,0.0533,-2.190254255,negative
217.0929,1.022,0.0536,-2.186632371,negative
289.0383,0.566,0.0538,-2.184445922,negative
465.2489,0.518,0.0539,-2.183593294,negative
188.0563,4.907,0.0544,-2.177877218,negative
427.0695,3.454,0.0546,-2.176309681,negative
308.1853,1.095,0.0548,-2.206525491,positive
327.089,3.629,0.0548,-2.173690431,negative
274.092,6.927,0.055,-2.203644713,positive
715.3355,0.55,0.0554,-2.167488807,negative
255.1338,6.529,0.0555,2.198756371,positive
579.2125,2.377,0.0558,-2.163221698,negative
144.1021,3.801,0.0559,-2.19405398,positive
247.0628,4.341,0.0559,-2.162570659,negative
425.181,0.529,0.056,-2.160912065,negative
260.1646,3.678,0.0561,2.191439015,positive
154.0256,0.927,0.0564,-2.156615038,negative
199.0974,1.354,0.0567,-2.153811988,negative
425.0374,8.429,0.0567,-2.153573537,negative
231.1236,0.974,0.0571,-2.149317527,negative
259.0924,6.027,0.0572,-2.179309811,positive
287.0229,1.479,0.0573,-2.147125227,negative
403.1027,3.097,0.0575,2.14563102,negative
251.0134,3.423,0.0577,-2.143334449,negative
204.9812,3.521,0.058,2.139886738,negative
537.2331,0.562,0.0582,-2.138523289,negative
449.2533,0.518,0.0585,-2.135293433,negative
165.0405,6.024,0.0587,2.133344355,negative
183.1023,0.506,0.059,-2.129719033,negative
235.0569,7.02,0.0594,-2.12665134,negative
277.1868,4.613,0.0598,2.152582821,positive
231.1702,5.351,0.06,-2.15075195,positive
279.089,3.497,0.06,-2.119973914,negative
730.1411,3.843,0.0603,2.117174333,negative
195.0511,6.805,0.0605,-2.114884672,negative
181.0617,1.482,0.0607,-2.143625539,positive
423.0221,8.465,0.0609,-2.111265109,negative
197.0676,0.781,0.0612,-2.108923448,negative
139.0398,0.519,0.0614,2.106700565,negative
521.2418,0.552,0.0614,-2.106797404,negative
545.2041,3.931,0.062,-2.101144566,negative
239.1389,7.307,0.0621,-2.129273561,positive
249.0577,6.126,0.0621,-2.099555971,negative
540.3495,4.471,0.0622,-2.128063317,positive
327.0724,2.431,0.0622,-2.098885895,negative
509.2749,0.528,0.0626,-2.095196801,negative
228.0575,3.43,0.0629,2.092364828,negative
426.1589,0.567,0.063,-2.091307919,negative
187.0417,3.489,0.0634,2.087621023,negative
238.0774,4.689,0.0637,-2.084462536,negative
303.1672,0.526,0.064,2.110797191,positive
547.0889,3.745,0.0642,2.079522246,negative
172.0978,0.872,0.0645,-2.077397405,negative
552.06,3.78,0.0646,-2.0761438,negative
336.1915,2.914,0.0648,2.103027334,positive
502.2947,1.064,0.0649,2.101807706,positive
411.2018,0.521,0.0649,-2.073074912,negative
551.2299,2.381,0.065,-2.072394537,negative
431.1156,2.347,0.0652,-2.070581795,negative
225.0762,0.841,0.0657,-2.066407215,negative
239.0341,8.007,0.0658,-2.065455236,negative
495.1962,0.514,0.0658,-2.065150056,negative
293.0332,3.975,0.0663,-2.06107758,negative
