m/z,rt,p-value,t-score,mode
357.0823,0.779,0.76,-0.313938887,negative
357.0825,3.399,0.873,0.164093489,negative
357.0826,2.931,0.79,0.273882863,negative
357.1009,4.96,0.375,0.928982032,negative
359.0566,0.67,0.0794,-1.952309103,negative
359.0958,2.977,0.905,-0.121775649,negative
359.0975,2.524,0.602,-0.538389987,negative
359.1344,4.351,0.0152,-2.922364593,negative
359.1345,3.504,0.0519,-2.205655675,negative
359.1347,3.481,0.0458,-2.280404991,negative
359.1353,0.806,0.011,-3.113066975,negative
359.1353,3.002,0.0138,-2.98175573,negative
360.0729,0.672,0.0604,-2.115963156,negative
361.0218,2.595,0.987,-0.016203699,negative
361.0578,0.686,0.0867,-1.899264399,negative
361.0713,3.465,0.164,1.502041359,negative
361.1499,3.066,0.0131,-3.010305275,negative
361.1501,4.225,0.8,0.260670961,negative
361.1502,3.49,0.0107,-3.129756109,negative
363.021,3.933,0.00106,4.546386512,negative
363.0234,4.453,0.00756,3.334866141,negative
363.0692,4.266,0.903,-0.124694936,negative
363.0701,4.451,0.939,0.078011417,negative
363.0756,0.658,0.162,-1.511593857,negative
363.1657,4.345,0.412,-0.85692732,negative
363.1658,4.172,0.571,-0.586256392,negative
364.0954,0.768,0.228,-1.284225687,negative
364.0958,3.594,0.759,0.315002301,negative
364.0972,3.027,0.0895,-1.880454699,negative
365.0528,0.68,0.964,-0.04680433,negative
365.0863,4.095,2.93E-06,9.351826015,negative
366.0851,4.55,0.00104,4.56103409,negative
366.1015,5.18,0.121,-1.694798631,negative
366.1016,4.846,0.707,-0.386557014,negative
367.0282,0.707,0.498,-0.702987354,negative
367.1578,5.796,0.2,1.371146691,negative
367.2123,5.512,0.809,0.248533949,negative
367.2236,4.071,0.374,0.931169596,negative
368.0804,3.895,0.594,-0.550487429,negative
368.0971,3.297,0.389,0.900925003,negative
368.0998,0.802,0.236,1.259423291,negative
368.9723,3.004,0.727,-0.358697098,negative
369.0829,3.476,0.0129,-3.020661299,negative
369.1552,5.993,0.655,-0.460834959,negative
369.1737,5.331,0.339,1.003524937,negative
369.1737,6.099,0.145,-1.581490151,negative
370.0781,2.895,0.245,1.235806619,negative
370.0786,0.733,0.124,1.678208789,negative
370.0972,3.765,0.00911,-3.224258,negative
370.097,3.208,0.0265,-2.598765886,negative
370.0981,3.747,0.315,-1.058342112,negative
371.0241,0.671,0.358,-0.962497762,negative
371.0976,0.801,0.0274,-2.580622114,negative
371.0978,3.481,0.00614,-3.457882879,negative
372.0951,0.795,0.0146,-2.947223906,negative
372.1099,3.404,0.0777,-1.965752075,negative
372.1116,3.914,0.57,0.587225959,negative
373.1067,2.937,0.758,-0.317008189,negative
373.1139,4.04,0.528,-0.65304073,negative
373.1141,3.685,0.00754,-3.336138947,negative
373.1514,3.715,0.22,-1.30941566,negative
374.0316,2.965,0.352,0.976477692,negative
374.1378,5.008,0.431,0.819999381,negative
375.054,0.665,0.12,-1.699993176,negative
375.0931,2.077,0.346,-0.989427833,negative
375.1278,3.109,0.0146,-2.948802425,negative
375.1294,0.798,0.0137,-2.984269706,negative
375.1294,4.074,0.352,-0.975922383,negative
377.0353,0.713,0.056,-2.16143587,negative
377.0526,0.697,0.0839,-1.919450161,negative
377.1019,5.09,0.505,0.692000741,negative
379.0336,0.708,0.753,0.323024994,negative
379.0338,3.038,0.366,0.947548683,negative
379.0686,0.661,0.32,-1.046680747,negative
379.0909,2.789,0.785,0.279689809,negative
379.091,3.484,0.966,0.043557211,negative
379.1393,5.891,0.54,-0.633823002,negative
379.1607,3.652,0.853,0.190672418,negative
379.1607,4.047,0.908,0.118406089,negative
379.1955,5.602,0.0558,-2.163195673,negative
