Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
239.0922,C00670,M-H2O-H[-],0.965,0.000523533,EC000120
239.09221,C00670,M-H2O-H[-],0.817,0.000513533,EC000120
257.1024,C00670,M-H[-],0.515,0.000923533,EC000121
293.0802,C00670,M+Cl[-],0.982,0.0007,EC000120
317.1237,C00670,M+CH3COO[-],0.522,0.000195,EC000121
407.2794,C00695,M-H[-],0.974,0.000923533,EC000122
333.2065,C00696,M-H2O-H[-],0.498,0.000623533,EC00094
205.0353,C00725,M-H[-],5.68,0.000923533,EC000123
179.0559,C00738,M-H[-],5.977,0.000223533,EC0009
179.056,C00738,M-H[-],6.344,0.000123533,EC00010
179.0561,C00738,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00738,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00738,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00738,M+ACN-H[-],5.686,0.000168533,EC0009
502.2073,C00746,M-2H[2-],5.418,0.003673533,EC000124
502.2076,C00746,M-2H[2-],4.936,0.003373533,EC000125
267.0727,C00760,M-2H[2-],4.074,0.000544354,EC000126
164.0715,C00788,M-H2O-H[-],4.437,0.000123533,EC000127
112.0517,C00791,M-H[-],3.613,7.65E-05,EC000128
112.05178,C00791,M-H[-],3.504,0.000156467,EC000128
181.0718,C00794,M-H[-],5.323,7.65E-05,EC000129
161.0455,C00795,M-H2O-H[-],3.634,2.35E-05,EC0008
161.04555,C00795,M-H2O-H[-],5.668,2.65E-05,EC0009
161.04557,C00795,M-H2O-H[-],3.524,4.65E-05,EC0008
179.0559,C00795,M-H[-],5.977,0.000223533,EC0009
179.056,C00795,M-H[-],6.344,0.000123533,EC00010
179.0561,C00795,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00795,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00795,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00795,M+ACN-H[-],5.686,0.000168533,EC0009
177.0405,C00800,M-H2O-H[-],5.7,7.65E-05,EC00060
195.0504,C00800,M-H[-],1.472,0.000623533,EC00061
195.0511,C00800,M-H[-],6.805,7.65E-05,EC00062
195.0515,C00800,M-H[-],0.84,0.000476467,EC00063
195.0516,C00800,M-H[-],0.562,0.000576467,EC00064
195.0518,C00800,M-H[-],0.563,0.000776467,EC00064
195.052,C00800,M-H[-],1.912,0.000976467,EC00065
195.0521,C00800,M-H[-],2.398,0.001076467,EC00066
231.0295,C00800,M+Cl[-],2.581,0.0023,EC00066
236.0772,C00800,M+ACN-H[-],0.506,0.000368533,EC00064
163.0403,C00811,M-H[-],0.951,0.000276467,EC00047
191.0196,C00818,M-H2O-H[-],0.953,0.000123533,EC000130
191.01965,C00818,M-H2O-H[-],3.544,7.35E-05,EC000131
191.01968,C00818,M-H2O-H[-],3.644,4.35E-05,EC000131
191.01969,C00818,M-H2O-H[-],0.526,3.35E-05,EC000132
191.0198,C00818,M-H2O-H[-],5.679,7.65E-05,EC000133
191.0199,C00818,M-H2O-H[-],8.317,0.000176467,EC000134
191.02,C00818,M-H2O-H[-],7.722,0.000276467,EC000134
191.0201,C00818,M-H2O-H[-],7.804,0.000376467,EC000134
145.0618,C00819,M-H[-],3.339,2.35E-05,EC00019
145.0619,C00819,M-H[-],6.606,7.65E-05,EC00020
194.0456,C00822,M-H[-],0.519,0.000323533,EC000135
194.0458,C00822,M-H[-],0.984,0.000123533,EC000136
194.04583,C00822,M-H[-],3.731,9.35E-05,EC000137
210.0408,C00822,M-H+O[-],3.441,3.35E-05,EC000137
230.0222,C00822,M+Cl[-],3.68,0.0001,EC000137
230.0225,C00822,M+Cl[-],3.623,0.0004,EC000137
218.067,C00835,M-H2O-H[-],1.023,0.001323533,EC000138
236.0772,C00835,M-H[-],0.506,0.001723533,EC000139
182.0457,C00847,M-H[-],0.856,0.000223533,EC000140
172.9922,C00850,M-H[-],1.849,0.000776467,EC000141
174.9871,C00850,M(S34)-H[-],1.827,0.000123533,EC000141
188.9871,C00850,M-H+O[-],1.745,0.000766467,EC000141
218.1032,C00864,M-H[-],0.535,0.000223533,EC000142
259.1292,C00864,M+ACN-H[-],0.516,0.000768533,EC000142
341.1086,C00897,M-H[-],6.451,0.000323533,EC00028
377.0853,C00897,M+Cl[-],6.452,0.0002,EC00028
179.0559,C00936,M-H[-],5.977,0.000223533,EC0009
179.056,C00936,M-H[-],6.344,0.000123533,EC00010
179.0561,C00936,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00936,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00936,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00936,M+ACN-H[-],5.686,0.000168533,EC0009
73.0294,C00937,M-H[-],0.881,0.000123533,EC00046
144.0302,C00940,M-H[-],5.659,2.35E-05,EC000143
189.0404,C00944,M-H[-],5.148,2.35E-05,EC000144
189.0405,C00944,M-H[-],5.173,7.65E-05,EC000144
249.0627,C00944,M+CH3COO[-],5.154,0.001705,EC000144
161.0455,C00962,M-H2O-H[-],3.634,2.35E-05,EC0008
161.04555,C00962,M-H2O-H[-],5.668,2.65E-05,EC0009
161.04557,C00962,M-H2O-H[-],3.524,4.65E-05,EC0008
179.0559,C00962,M-H[-],5.977,0.000223533,EC0009
179.056,C00962,M-H[-],6.344,0.000123533,EC00010
179.0561,C00962,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00962,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00962,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00962,M+ACN-H[-],5.686,0.000168533,EC0009
161.0455,C00984,M-H2O-H[-],3.634,2.35E-05,EC0008
161.04555,C00984,M-H2O-H[-],5.668,2.65E-05,EC0009
161.04557,C00984,M-H2O-H[-],3.524,4.65E-05,EC0008
179.0559,C00984,M-H[-],5.977,0.000223533,EC0009
179.056,C00984,M-H[-],6.344,0.000123533,EC00010
179.0561,C00984,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00984,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00984,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00984,M+ACN-H[-],5.686,0.000168533,EC0009
103.04,C00989,M-H[-],0.988,2.35E-05,EC000145
144.0666,C00989,M+ACN-H[-],1.163,3.15E-05,EC000145
359.134,C01007,M-H2O-H[-],0.536,0.002023533,EC000146
377.1447,C01007,M-H[-],5.659,0.001923533,EC000147
145.05,C01019,M-H2O-H[-],0.997,0.000623533,EC000148
145.0504,C01019,M-H2O-H[-],0.989,0.000223533,EC000148
209.0675,C01019,M+HCOO[-],0.96,0.001355,EC000148
177.0405,C01040,M-H[-],5.7,7.65E-05,EC00055
220.0825,C01074,M-H[-],5.686,0.000160753,EC00038
240.0182,C01075,M-H2O-H[-],7.939,0.000123533,EC000149
