mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size,,,,
154.0256_0.927,154.0256,0.927,23021.114,Cluster_154.0256_0.927,154.0256_0.927;198.0155_0.924,2,,,,
154.0623_7.684,154.0623,7.684,362337.81,154.0623_7.684,154.0623_7.684,1,,,,
154.0703_7.686,154.0703,7.686,22319.1965,154.0703_7.686,154.0703_7.686,1,,,,
154.9905_0.79,154.9905,0.79,501.3526,Cluster_267.1082_0.806,154.9905_0.79;267.1082_0.806,2,,,,
154.9986_7.909,154.9986,7.909,6546.15485,154.9986_7.909,154.9986_7.909,1,,,,
155.0462_6.062,155.0462,6.062,66015.3825,155.0462_6.062,155.0462_6.062,1,,,,
156.0665_1.414,156.0665,1.414,19404.121,156.0665_1.414,156.0665_1.414,1,,,,
157.0367_4.662,157.0367,4.662,137603.765,157.0367_4.662,157.0367_4.662,1,,,,
157.0503_0.513,157.0503,0.513,31522.287,157.0503_0.513,157.0503_0.513,1,,,,
158.082_0.514,158.082,0.514,72155.595,158.082_0.514,158.082_0.514,1,,,,
158.0822_0.968,158.0822,0.968,89957.163,158.0822_0.968,158.0822_0.968,1,,,,
159.0516_1.019,159.0516,1.019,18044.238,159.0516_1.019,159.0516_1.019,1,,,,
159.0663_0.926,159.0663,0.926,247974.54,159.0663_0.926,159.0663_0.926,1,,,,
161.0455_3.524,161.0455,3.524,241611.545,161.0455_3.524,161.0455_3.524,1,,,,
161.0455_3.634,161.0455,3.634,248696.795,161.0455_3.634,161.0455_3.634,1,,,,
161.0455_5.668,161.0455,5.668,33594.6275,161.0455_5.668,161.0455_5.668,1,,,,
161.9867_2.345,161.9867,2.345,250443.07,Cluster_161.9867_2.345,161.9867_2.345;163.9823_2.353;82.0297_2.356,3,,,,
161.9867_2.332,161.9867,2.332,128438.255,Cluster_161.9867_2.332,161.9867_2.332;82.0297_2.335,2,,,,
162.0227_0.513,162.0227,0.513,114356.677,162.0227_0.513,162.0227_0.513,1,,,,
162.0229_4.073,162.0229,4.073,11164.954,162.0229_4.073,162.0229_4.073,1,,,,
163.0247_5.69,163.0247,5.69,17674.3625,163.0247_5.69,163.0247_5.69,1,,,,
163.0403_0.951,163.0403,0.951,11844.2875,163.0403_0.951,163.0403_0.951,1,,,,
163.9823_2.353,163.9823,2.353,14450.607,Cluster_161.9867_2.345,161.9867_2.345;163.9823_2.353;82.0297_2.356,3,,,,
164.0715_4.437,164.0715,4.437,49416.064,164.0715_4.437,164.0715_4.437,1,,,,
165.0046_1.023,165.0046,1.023,160788.14,Cluster_165.0046_1.023,121.0156_1.025;165.0046_1.023;191.0043_1.023,3,,,,
165.0405_6.024,165.0405,6.024,240770.385,Cluster_165.0405_6.024,165.0405_6.024;166.0437_6.022,2,,,,
165.0405_5.703,165.0405,5.703,319924.275,165.0405_5.703,165.0405_5.703,1,,,,
165.0405_6.233,165.0405,6.233,156756.285,165.0405_6.233,165.0405_6.233,1,,,,
165.0418_1.302,165.0418,1.302,121901.837,165.0418_1.302,165.0418_1.302,1,,,,
165.042_0.562,165.042,0.562,176158.245,165.042_0.562,165.042_0.562,1,,,,
165.0472_3.498,165.0472,3.498,19820.569,165.0472_3.498,165.0472_3.498,1,,,,
165.0488_5.706,165.0488,5.706,20171.58,165.0488_5.706,165.0488_5.706,1,,,,
165.0533_0.913,165.0533,0.913,35705.3945,Cluster_165.0534_0.912,165.0533_0.913;165.0534_0.912,2,,,,
165.0534_0.912,165.0534,0.912,35705.3945,Cluster_165.0534_0.912,165.0533_0.913;165.0534_0.912,2,,,,
166.0437_6.022,166.0437,6.022,16650.7675,Cluster_165.0405_6.024,165.0405_6.024;166.0437_6.022,2,,,,
167.0212_5.168,167.0212,5.168,478415.23,Cluster_167.0212_5.168,167.0212_5.168;335.049_5.167,2,,,,
167.0461_5.457,167.0461,5.457,25190.59,167.0461_5.457,167.0461_5.457,1,,,,
167.0559_3.69,167.0559,3.69,13955.9855,167.0559_3.69,167.0559_3.69,1,,,,
168.03_7.048,168.03,7.048,8757.207,Cluster_212.0199_7.051,168.03_7.048;212.0199_7.051,2,,,,
168.078_7.818,168.078,7.818,728728.52,168.078_7.818,168.078_7.818,1,,,,
168.0862_7.82,168.0862,7.82,34103.6025,168.0862_7.82,168.0862_7.82,1,,,,
171.041_7.771,171.041,7.771,60940.35,171.041_7.771,171.041_7.771,1,,,,
171.043_3.694,171.043,3.694,1031.63345,Cluster_171.043_3.694,171.043_3.694;482.2181_3.69,2,,,,
171.0662_0.928,171.0662,0.928,151471.36,Cluster_171.0662_0.928,127.0764_0.922;171.0662_0.928,2,,,,
171.0774_5.47,171.0774,5.47,10066.1845,171.0774_5.47,171.0774_5.47,1,,,,
172.0977_0.843,172.0977,0.843,58939.827,172.0977_0.843,172.0977_0.843,1,,,,
172.0978_0.872,172.0978,0.872,62810.618,172.0978_0.872,172.0978_0.872,1,,,,
172.9922_1.849,172.9922,1.849,3604320.65,Cluster_172.9922_1.849,172.9922_1.849;174.9871_1.845;174.9956_1.844;93.0345_1.844,4,,,,
172.9996_1.942,172.9996,1.942,35187.1425,172.9996_1.942,172.9996_1.942,1,,,,
173.009_6.03,173.009,6.03,21832.2315,173.009_6.03,173.009_6.03,1,,,,
173.0218_1.841,173.0218,1.841,111865.343,173.0218_1.841,173.0218_1.841,1,,,,
173.0567_5.7,173.0567,5.7,71599.125,Cluster_173.0567_5.7,130.0509_5.699;173.0567_5.7,2,,,,
