p.value,m.z,t.score,r.t,pos_inx
0.395,400.1429,0.888728788,4.669,0
0.396,379.0909,-0.887561458,2.789,0
0.396,146.0614,-0.886279009,2.317,1
0.398,349.059,-0.883081676,0.669,0
0.398,464.2272,-0.882728053,0.798,1
0.398,486.2329,0.882161164,5.447,1
0.399,452.2062,0.881762238,5.052,1
0.402,274.0396,0.875796559,0.676,0
0.402,431.0534,-0.874749112,0.666,0
0.404,361.0218,-0.870952086,2.595,0
0.404,446.1831,0.872000928,4.341,0
0.404,237.1232,-0.870758939,2.723,1
0.404,338.2324,0.871639445,5.637,1
0.405,197.0471,-0.868754399,3.745,0
0.405,290.1419,-0.869561907,5.181,1
0.406,178.0513,-0.867077876,2.879,0
0.409,413.0425,-0.862612846,3.484,1
0.409,565.2029,-0.860994033,0.801,1
0.411,375.12947,0.858754863,4.074,0
0.412,216.9812,-0.855267741,2.65,0
0.412,225.0623,-0.855268299,0.658,0
0.412,405.0285,-0.855979879,0.72,0
0.413,319.0474,0.8541736,0.696,0
0.413,541.2651,-0.854021133,4.526,0
0.414,247.1288,0.853188083,0.789,1
0.417,484.0498,-0.846428289,2.566,0
0.417,243.0877,-0.846971194,4.57,1
0.417,375.2614,-0.845715663,3.928,1
0.418,559.1102,-0.844407714,0.68,0
0.418,378.1755,-0.845567422,4.358,1
0.42,295.1298,-0.840417431,3.641,0
0.42,640.3332,-0.841042738,4.371,0
0.421,135.0295,0.83935663,0.64,0
0.421,336.2167,0.839135248,5.325,1
0.422,195.051,0.836910448,0.627,0
0.422,286.1792,0.836987381,4.126,1
0.424,245.0798,0.832755818,4.776,1
0.425,625.0354,0.831867948,3.814,0
0.425,450.2132,0.830867155,5.757,1
0.425,482.1231,-0.831113164,3.477,1
0.426,526.114,0.830316215,3.463,0
0.428,274.039,0.825305779,0.769,0
0.428,359.1345,-0.8261035,3.504,0
0.429,345.0438,0.825134288,0.668,0
0.429,359.1347,-0.823496708,3.481,0
0.429,494.1144,-0.82338716,0.666,0
0.43,719.3726,-0.82267743,3.874,1
0.431,430.1728,-0.820231632,4.485,1
0.433,191.0276,0.816697387,1.165,0
0.433,180.06589,-0.816248525,2.895,1
0.434,439.1146,-0.814807453,6.219,0
0.434,543.0792,0.815287334,0.704,0
0.434,265.1556,0.814759972,3.46,1
0.435,168.0301,0.813286562,0.797,0
0.44,356.1002,-0.803766104,2.592,0
0.44,411.1279,-0.803619466,4.49,0
0.441,258.1848,-0.803187844,3.943,1
0.441,274.1778,-0.803098266,4.235,1
0.441,305.0865,-0.802640926,0.744,1
0.442,379.091,-0.801153935,3.484,0
0.442,295.048,-0.801308039,2.58,1
0.443,310.9691,-0.798573952,1.162,0
0.443,372.1861,-0.798290182,3.381,1
