m.z,r.t,p.value,t.score,mode
320.0597,0.683,0.368,0.942127125,negative
321.0622,3.448,0.33,1.023218315,negative
321.0625,0.656,0.284,-1.133238983,negative
324.0682,6.363,0.984,-0.020498923,negative
324.0723,0.776,0.674,0.433907855,negative
324.0723,2.134,0.885,0.148815868,negative
324.0723,2.857,0.909,0.117456524,negative
325.1288,5.321,0.991,-0.011512683,negative
326.0866,0.798,0.655,-0.459826122,negative
328.0474,0.665,0.231,1.274545129,negative
329.1602,5.369,0.461,-0.766195507,negative
330.0287,3.095,0.0917,-1.865203193,negative
330.0291,0.673,0.454,0.779789407,negative
331.0121,3.56,0.238,-1.256164302,negative
331.0274,0.668,0.141,1.596496466,negative
331.091,2.747,0.394,0.891282091,negative
331.091,3.433,0.489,0.717859754,negative
331.1218,3.932,0.0638,-2.083391037,negative
331.1763,5.775,0.511,0.682283443,negative
333.0047,4.33,1.84E-06,9.840711132,negative
333.0066,3.893,1.45E-06,10.10377884,negative
333.0634,0.694,0.322,-1.042326264,negative
334.0517,3.708,0.985,0.019345249,negative
335.0244,4.36,5.35E-07,11.24879999,negative
335.0468,0.663,0.492,-0.713444793,negative
336.0493,0.662,0.14,-1.601095314,negative
336.0706,3.376,0.585,0.564704186,negative
336.0708,0.807,0.749,-0.329322068,negative
336.0718,3.292,0.476,-0.741125104,negative
336.072,3.762,0.444,-0.797034642,negative
336.1214,3.081,0.176,1.457169103,negative
336.1218,3.046,0.67,0.438958895,negative
336.1323,3.647,0.0516,-2.209829989,negative
337.0556,0.777,0.777,-0.291138865,negative
337.056,3.104,0.876,-0.160724645,negative
337.1446,4.025,0.615,0.518915634,negative
337.1469,3.591,0.512,-0.679621284,negative
338.0632,3.433,0.773,-0.296187195,negative
338.0879,3.557,0.979,-0.026830154,negative
338.1178,2.307,0.186,-1.420751439,negative
339.1082,4.74,0.279,-1.144970349,negative
341.1234,4.519,0.961,-0.049989119,negative
343.0666,0.756,0.2,1.373380655,negative
343.0669,2.881,0.211,1.336399282,negative
343.0855,4.396,0.528,0.654453466,negative
343.0855,4.765,0.471,0.748747495,negative
343.1396,5.368,0.135,-1.627315945,negative
344.0448,0.677,0.476,0.740732185,negative
345.0438,0.668,0.429,0.825134288,negative
345.1552,6.009,0.197,1.380615727,negative
345.1553,5.874,0.367,0.944747429,negative
345.1554,3.382,0.104,-1.789436214,negative
345.1554,4.506,0.0325,-2.481437902,negative
345.1933,4.201,0.0321,-2.488524211,negative
347.0424,0.697,0.28,-1.141174487,negative
347.059,0.674,0.0702,-2.026361096,negative
347.0774,4.782,0.719,0.369510362,negative
347.079,0.706,0.875,-0.161273389,negative
347.0881,3.328,0.58,-0.572592078,negative
347.1678,4.233,0.233,-1.268604797,negative
347.17,3.394,0.542,0.631078442,negative
348.0769,2.315,0.558,-0.605428365,negative
349.0207,0.696,0.742,-0.338279393,negative
349.059,0.669,0.398,-0.883081676,negative
350.088,3.366,0.283,1.135641962,negative
350.088,3.952,0.143,1.590390142,negative
351.0199,0.667,0.559,-0.604181176,negative
351.0566,0.663,0.686,-0.416805312,negative
351.07,3.888,0.862,0.178330606,negative
352.0859,5.224,0.907,-0.119568898,negative
354.1007,4.717,0.923,0.099445554,negative
354.1009,5.03,0.931,-0.088957742,negative
355.1037,4.621,0.259,-1.197380147,negative
356.031,0.667,0.188,1.411912168,negative
356.0987,0.796,0.2,-1.372138825,negative
356.1002,2.592,0.44,-0.803766104,negative
357.0823,0.779,0.948,0.067129993,negative
357.0825,3.399,0.603,0.536961065,negative
357.0826,2.931,0.779,0.287743674,negative
357.1009,4.96,0.103,1.795222396,negative
359.0566,0.67,0.325,-1.035704889,negative
359.0958,2.977,0.462,-0.764371791,negative
359.0975,2.524,0.517,-0.672396397,negative
359.1344,4.351,0.214,-1.327002629,negative
359.1345,3.504,0.428,-0.8261035,negative
359.1347,3.481,0.429,-0.823496708,negative
359.1353,0.806,0.0141,-2.967480237,negative
359.1353,3.002,0.17,-1.478669603,negative
360.0729,0.672,0.75,-0.327135249,negative
361.0218,2.595,0.404,-0.870952086,negative
361.0578,0.686,0.489,-0.718177752,negative
361.0713,3.465,0.679,0.426385181,negative
361.1499,3.066,0.0309,-2.509861998,negative
361.1501,4.225,0.206,1.352830377,negative
361.1502,3.49,0.109,-1.756788866,negative
363.021,3.933,0.00273,3.950894139,negative
363.0234,4.453,0.0113,3.098551155,negative
363.0692,4.266,0.928,-0.093297761,negative
363.0701,4.451,0.95,0.064277804,negative
363.0756,0.658,0.0952,-1.842301958,negative
363.1657,4.345,0.368,0.942627862,negative
363.1658,4.172,0.371,-0.937501142,negative
364.0954,0.768,0.586,-0.563072102,negative
364.0958,3.594,0.499,-0.702065261,negative
364.0972,3.027,0.186,-1.420751439,negative
365.0528,0.68,0.298,-1.098371547,negative
365.0863,4.095,4.62E-06,8.889568859,negative
366.0851,4.55,0.00251,4.001610688,negative
